Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 50.61 s, dT: 0.1000 s, Temp: 54.55 C, Target: 54.18 C, Output: 0
Time: 50.71 s, dT: 0.1000 s, Temp: 54.54 C, Target: 54.20 C, Output: 0
Time: 50.81 s, dT: 0.1000 s, Temp: 54.52 C, Target: 54.23 C, Output: 0
Time: 50.91 s, dT: 0.1000 s, Temp: 54.56 C, Target: 54.25 C, Output: 0
Time: 51.01 s, dT: 0.1000 s, Temp: 54.62 C, Target: 54.28 C, Output: 0
Time: 51.11 s, dT: 0.1000 s, Temp: 54.56 C, Target: 54.30 C, Output: 0
Time: 51.21 s, dT: 0.1000 s, Temp: 54.59 C, Target: 54.33 C, Output: 0
Time: 51.31 s, dT: 0.1000 s, Temp: 54.56 C, Target: 54.35 C, Output: 0
Time: 51.41 s, dT: 0.1000 s, Temp: 54.61 C, Target: 54.38 C, Output: 0
Time: 51.51 s, dT: 0.1000 s, Temp: 54.62 C, Target: 54.40 C, Output: 0
Time: 51.61 s, dT: 0.1000 s, Temp: 54.52 C, Target: 54.43 C, Output: 0
Time: 51.71 s, dT: 0.1000 s, Temp: 54.56 C, Target: 54.45 C, Output: 0
Time: 51.81 s, dT: 0.1000 s, Temp: 54.50 C, Target: 54.48 C, Output: 0
Time: 51.91 s, dT: 0.1000 s, Temp: 54.48 C, Target: 54.50 C, Output: 0
Time: 52.01 s, dT: 0.1000 s, Temp: 54.48 C, Target: 54.53 C, Output: 0
Time: 52.11 s, dT: 0.1000 s, Temp: 54.56 C, Target: 54.55 C, Output: 0
Time: 52.21 s, dT: 0.1000 s, Temp: 54.59 C, Target: 54.58 C, Output: 0
Time: 52.31 s, dT: 0.1000 s, Temp: 54.50 C, Target: 54.60 C, Output: 2
Time: 52.41 s, dT: 0.1000 s, Temp: 54.52 C, Target: 54.63 C, Output: 2
Time: 52.51 s, dT: 0.1000 s, Temp: 54.50 C, Target: 54.65 C, Output: 3
Time: 52.61 s, dT: 0.1000 s, Temp: 54.42 C, Target: 54.68 C, Output: 5
Time: 52.71 s, dT: 0.1000 s, Temp: 54.47 C, Target: 54.70 C, Output: 4
Time: 52.81 s, dT: 0.1000 s, Temp: 54.52 C, Target: 54.73 C, Output: 3
Time: 52.91 s, dT: 0.1000 s, Temp: 54.47 C, Target: 54.75 C, Output: 6
Time: 53.01 s, dT: 0.1000 s, Temp: 54.49 C, Target: 54.78 C, Output: 5
Time: 53.11 s, dT: 0.1000 s, Temp: 54.42 C, Target: 54.80 C, Output: 8
Time: 53.21 s, dT: 0.1000 s, Temp: 54.50 C, Target: 54.83 C, Output: 5
Time: 53.31 s, dT: 0.1000 s, Temp: 54.47 C, Target: 54.85 C, Output: 8
Time: 53.41 s, dT: 0.1000 s, Temp: 54.49 C, Target: 54.88 C, Output: 7
Time: 53.51 s, dT: 0.1000 s, Temp: 54.52 C, Target: 54.90 C, Output: 7
Time: 53.61 s, dT: 0.1000 s, Temp: 54.42 C, Target: 54.93 C, Output: 11
Time: 53.71 s, dT: 0.1000 s, Temp: 54.45 C, Target: 54.95 C, Output: 9
Time: 53.81 s, dT: 0.1000 s, Temp: 54.50 C, Target: 54.98 C, Output: 9
Time: 53.91 s, dT: 0.1000 s, Temp: 54.47 C, Target: 55.00 C, Output: 11
Time: 54.01 s, dT: 0.1000 s, Temp: 54.45 C, Target: 55.03 C, Output: 12
Time: 54.11 s, dT: 0.1000 s, Temp: 54.42 C, Target: 55.05 C, Output: 13
Time: 54.21 s, dT: 0.1000 s, Temp: 54.45 C, Target: 55.08 C, Output: 12
Time: 54.31 s, dT: 0.1000 s, Temp: 54.52 C, Target: 55.10 C, Output: 11
Time: 54.41 s, dT: 0.1000 s, Temp: 54.42 C, Target: 55.13 C, Output: 15
Time: 54.51 s, dT: 0.1000 s, Temp: 54.43 C, Target: 55.15 C, Output: 14
Time: 54.61 s, dT: 0.1000 s, Temp: 54.40 C, Target: 55.18 C, Output: 16
Time: 54.71 s, dT: 0.1000 s, Temp: 54.42 C, Target: 55.20 C, Output: 15
Time: 54.81 s, dT: 0.1000 s, Temp: 54.38 C, Target: 55.23 C, Output: 17
Time: 54.91 s, dT: 0.1000 s, Temp: 54.42 C, Target: 55.25 C, Output: 16
Time: 55.01 s, dT: 0.1000 s, Temp: 54.47 C, Target: 55.28 C, Output: 16
Time: 55.11 s, dT: 0.1000 s, Temp: 54.43 C, Target: 55.30 C, Output: 18
Time: 55.21 s, dT: 0.1000 s, Temp: 54.42 C, Target: 55.33 C, Output: 18
Time: 55.31 s, dT: 0.1000 s, Temp: 54.40 C, Target: 55.35 C, Output: 20
