Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00 C, Output: 0
Time: 49.51 s, dT: 0.1000 s, Temp: 25.70 C, Target: 60.78 C, Output: 255
Time: 49.61 s, dT: 0.1000 s, Temp: 25.68 C, Target: 60.82 C, Output: 255
Time: 49.71 s, dT: 0.1000 s, Temp: 25.69 C, Target: 60.87 C, Output: 255
Time: 49.81 s, dT: 0.1000 s, Temp: 25.71 C, Target: 60.92 C, Output: 255
Time: 49.91 s, dT: 0.1000 s, Temp: 25.73 C, Target: 60.96 C, Output: 255
Time: 50.01 s, dT: 0.1000 s, Temp: 25.68 C, Target: 61.01 C, Output: 255
Time: 50.11 s, dT: 0.1000 s, Temp: 25.69 C, Target: 61.06 C, Output: 255
Time: 50.21 s, dT: 0.1000 s, Temp: 25.70 C, Target: 61.10 C, Output: 255
Time: 50.31 s, dT: 0.1000 s, Temp: 25.75 C, Target: 61.15 C, Output: 255
Time: 50.41 s, dT: 0.1000 s, Temp: 25.75 C, Target: 61.19 C, Output: 255
Time: 50.51 s, dT: 0.1000 s, Temp: 25.77 C, Target: 61.24 C, Output: 255
Time: 50.61 s, dT: 0.1000 s, Temp: 25.64 C, Target: 61.29 C, Output: 255
Time: 50.71 s, dT: 0.1000 s, Temp: 25.70 C, Target: 61.33 C, Output: 255
Time: 50.81 s, dT: 0.1000 s, Temp: 25.71 C, Target: 61.38 C, Output: 255
Time: 50.91 s, dT: 0.1000 s, Temp: 25.79 C, Target: 61.43 C, Output: 255
Time: 51.01 s, dT: 0.1000 s, Temp: 25.71 C, Target: 61.47 C, Output: 255
Time: 51.11 s, dT: 0.1000 s, Temp: 25.77 C, Target: 61.52 C, Output: 255
Time: 51.21 s, dT: 0.1000 s, Temp: 25.71 C, Target: 61.56 C, Output: 255
