Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0.1000 s, Temp: 46.89 C, Target: 54.32 C, Output: 175
Time: 41.31 s, dT: 0.1000 s, Temp: 66.14 C, Target: 65.12 C, Output: 73
Time: 41.41 s, dT: 0.1000 s, Temp: 66.29 C, Target: 65.17 C, Output: 70
Time: 41.51 s, dT: 0.1000 s, Temp: 66.47 C, Target: 65.21 C, Output: 66
Time: 41.61 s, dT: 0.1000 s, Temp: 66.49 C, Target: 65.26 C, Output: 68
Time: 41.71 s, dT: 0.1000 s, Temp: 66.55 C, Target: 65.30 C, Output: 68
Time: 41.81 s, dT: 0.1000 s, Temp: 66.66 C, Target: 65.35 C, Output: 66
Time: 41.91 s, dT: 0.1000 s, Temp: 66.75 C, Target: 65.39 C, Output: 65
Time: 42.01 s, dT: 0.1000 s, Temp: 66.84 C, Target: 65.44 C, Output: 64
Time: 42.11 s, dT: 0.1000 s, Temp: 66.95 C, Target: 65.48 C, Output: 63
Time: 42.21 s, dT: 0.1000 s, Temp: 67.02 C, Target: 65.53 C, Output: 62
Time: 42.31 s, dT: 0.1000 s, Temp: 67.18 C, Target: 65.57 C, Output: 59
Time: 42.41 s, dT: 0.1000 s, Temp: 67.17 C, Target: 65.62 C, Output: 62
Time: 42.51 s, dT: 0.1000 s, Temp: 67.32 C, Target: 65.66 C, Output: 58
Time: 42.61 s, dT: 0.1000 s, Temp: 67.37 C, Target: 65.71 C, Output: 59
Time: 42.71 s, dT: 0.1000 s, Temp: 67.48 C, Target: 65.75 C, Output: 57
Time: 42.81 s, dT: 0.1000 s, Temp: 67.48 C, Target: 65.80 C, Output: 59
Time: 42.91 s, dT: 0.1000 s, Temp: 67.73 C, Target: 65.84 C, Output: 52
Time: 43.01 s, dT: 0.1000 s, Temp: 67.80 C, Target: 65.89 C, Output: 53
Time: 43.11 s, dT: 0.1000 s, Temp: 67.84 C, Target: 65.93 C, Output: 54
Time: 43.21 s, dT: 0.1000 s, Temp: 67.98 C, Target: 65.98 C, Output: 51
Time: 43.31 s, dT: 0.1000 s, Temp: 67.97 C, Target: 66.02 C, Output: 53
Time: 43.41 s, dT: 0.1000 s, Temp: 68.09 C, Target: 66.07 C, Output: 50
Time: 43.51 s, dT: 0.1000 s, Temp: 68.18 C, Target: 66.11 C, Output: 49
Time: 43.61 s, dT: 0.1000 s, Temp: 68.23 C, Target: 66.16 C, Output: 50
Time: 43.71 s, dT: 0.1000 s, Temp: 68.39 C, Target: 66.20 C, Output: 46
