Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 51.80 s, dT: 0.1000 s, Temp: 25.61 C, Target: 54.21 C, Output: 255
Time: 51.90 s, dT: 0.1000 s, Temp: 25.63 C, Target: 54.26 C, Output: 255
Time: 52.00 s, dT: 0.1000 s, Temp: 25.57 C, Target: 54.30 C, Output: 255
Time: 52.10 s, dT: 0.1000 s, Temp: 25.62 C, Target: 54.35 C, Output: 255
Time: 52.20 s, dT: 0.1000 s, Temp: 25.60 C, Target: 54.39 C, Output: 255
Time: 52.30 s, dT: 0.1000 s, Temp: 25.64 C, Target: 54.44 C, Output: 255
Time: 52.40 s, dT: 0.1000 s, Temp: 25.69 C, Target: 54.49 C, Output: 255
Time: 52.50 s, dT: 0.1000 s, Temp: 25.70 C, Target: 54.53 C, Output: 255
Time: 52.60 s, dT: 0.1000 s, Temp: 25.69 C, Target: 54.58 C, Output: 255
Time: 52.70 s, dT: 0.1000 s, Temp: 25.71 C, Target: 54.63 C, Output: 255
Time: 52.80 s, dT: 0.1000 s, Temp: 25.75 C, Target: 54.67 C, Output: 255
Time: 52.90 s, dT: 0.1000 s, Temp: 25.71 C, Target: 54.72 C, Output: 255
Time: 53.00 s, dT: 0.1000 s, Temp: 25.73 C, Target: 54.76 C, Output: 255
Time: 53.10 s, dT: 0.1000 s, Temp: 25.79 C, Target: 54.81 C, Output: 255
Time: 53.20 s, dT: 0.1000 s, Temp: 25.70 C, Target: 54.86 C, Output: 255
Time: 53.30 s, dT: 0.1000 s, Temp: 25.77 C, Target: 54.90 C, Output: 255
Time: 53.40 s, dT: 0.1000 s, Temp: 25.74 C, Target: 54.95 C, Output: 255
Time: 53.50 s, dT: 0.1000 s, Temp: 25.83 C, Target: 55.00 C, Output: 255
Time: 53.60 s, dT: 0.1000 s, Temp: 25.80 C, Target: 55.04 C, Output: 255
Time: 53.70 s, dT: 0.1000 s, Temp: 25.88 C, Target: 55.09 C, Output: 255
Time: 53.80 s, dT: 0.1000 s, Temp: 25.90 C, Target: 55.13 C, Output: 255
Time: 53.90 s, dT: 0.1000 s, Temp: 25.96 C, Target: 55.18 C, Output: 255
Time: 54.00 s, dT: 0.1000 s, Temp: 25.88 C, Target: 55.23 C, Output: 255
Time: 54.10 s, dT: 0.1000 s, Temp: 25.96 C, Target: 55.27 C, Output: 255
Time: 54.20 s, dT: 0.1000 s, Temp: 25.97 C, Target: 55.32 C, Output: 255
Time: 54.30 s, dT: 0.1000 s, Temp: 25.95 C, Target: 55.37 C, Output: 255
Time: 54.40 s, dT: 0.1000 s, Temp: 25.90 C, Target: 55.41 C, Output: 255
Time: 54.50 s, dT: 0.1000 s, Temp: 25.95 C, Target: 55.46 C, Output: 255
Time: 54.60 s, dT: 0.1000 s, Temp: 26.07 C, Target: 55.50 C, Output: 255
Time: 54.70 s, dT: 0.1000 s, Temp: 26.07 C, Target: 55.55 C, Output: 255
Time: 54.80 s, dT: 0.1000 s, Temp: 26.12 C, Target: 55.60 C, Output: 255
Time: 54.90 s, dT: 0.1000 s, Temp: 26.16 C, Target: 55.64 C, Output: 255
Time: 55.00 s, dT: 0.1010 s, Temp: 26.12 C, Target: 55.69 C, Output: 255
Time: 55.11 s, dT: 0.1010 s, Temp: 26.14 C, Target: 55.74 C, Output: 255
Time: 55.21 s, dT: 0.1010 s, Temp: 26.16 C, Target: 55.78 C, Output: 255
Time: 55.31 s, dT: 0.1010 s, Temp: 26.18 C, Target: 55.83 C, Output: 255
Time: 55.41 s, dT: 0.1000 s, Temp: 26.21 C, Target: 55.88 C, Output: 255
Time: 55.51 s, dT: 0.1000 s, Temp: 26.30 C, Target: 55.92 C, Output: 255
Time: 55.61 s, dT: 0.1000 s, Temp: 26.25 C, Target: 55.97 C, Output: 255
Time: 55.71 s, dT: 0.1000 s, Temp: 26.25 C, Target: 56.01 C, Output: 255
Time: 55.81 s, dT: 0.1000 s, Temp: 26.30 C, Target: 56.06 C, Output: 255
Time: 55.91 s, dT: 0.1000 s, Temp: 26.38 C, Target: 56.11 C, Output: 255
Time: 56.01 s, dT: 0.1000 s, Temp: 26.29 C, Target: 56.15 C, Output: 255
Time: 56.11 s, dT: 0.1010 s, Temp: 26.32 C, Target: 56.20 C, Output: 255
Time: 56.21 s, dT: 0.1000 s, Temp: 26.45 C, Target: 56.25 C, Output: 255
Time: 56.31 s, dT: 0.1000 s, Temp: 26.45 C, Target: 56.29 C, Output: 255
Time: 56.41 s, dT: 0.1000 s, Temp: 26.43 C, Target: 56.34 C, Output: 255
Time: 56.51 s, dT: 0.1000 s, Temp: 26.50 C, Target: 56.39 C, Output: 255
Time: 56.61 s, dT: 0.1000 s, Temp: 26.55 C, Target: 56.43 C, Output: 255
Time: 56.71 s, dT: 0.1000 s, Temp: 26.52 C, Target: 56.48 C, Output: 255
Time: 56.81 s, dT: 0.1000 s, Temp: 26.55 C, Target: 56.52 C, Output: 255
Time: 56.91 s, dT: 0.1000 s, Temp: 26.54 C, Target: 56.57 C, Output: 255
Time: 57.01 s, dT: 0.1000 s, Temp: 26.63 C, Target: 56.62 C, Output: 255
Time: 57.11 s, dT: 0.1000 s, Temp: 26.62 C, Target: 56.66 C, Output: 255
Time: 57.21 s, dT: 0.1000 s, Temp: 26.67 C, Target: 56.71 C, Output: 255
Time: 57.31 s, dT: 0.1000 s, Temp: 26.66 C, Target: 56.76 C, Output: 255
Time: 57.41 s, dT: 0.1000 s, Temp: 26.74 C, Target: 56.80 C, Output: 255
Time: 57.51 s, dT: 0.1000 s, Temp: 26.81 C, Target: 56.85 C, Output: 255
Time: 57.61 s, dT: 0.1000 s, Temp: 26.87 C, Target: 56.89 C, Output: 255
Time: 57.71 s, dT: 0.1000 s, Temp: 26.89 C, Target: 56.94 C, Output: 255
Time: 57.81 s, dT: 0.1000 s, Temp: 26.88 C, Target: 56.99 C, Output: 255
Time: 57.91 s, dT: 0.1000 s, Temp: 26.91 C, Target: 57.03 C, Output: 255
Time: 58.01 s, dT: 0.1010 s, Temp: 27.05 C, Target: 57.08 C, Output: 255
Time: 58.11 s, dT: 0.1000 s, Temp: 26.98 C, Target: 57.13 C, Output: 255
Time: 58.21 s, dT: 0.1000 s, Temp: 27.00 C, Target: 57.17 C, Output: 255
Time: 58.31 s, dT: 0.1000 s, Temp: 27.00 C, Target: 57.22 C, Output: 255
Time: 58.41 s, dT: 0.1000 s, Temp: 27.09 C, Target: 57.26 C, Output: 255
Time: 58.51 s, dT: 0.1000 s, Temp: 27.16 C, Target: 57.31 C, Output: 255
Time: 58.61 s, dT: 0.1000 s, Temp: 27.17 C, Target: 57.36 C, Output: 255
Time: 58.71 s, dT: 0.1000 s, Temp: 27.23 C, Target: 57.40 C, Output: 255
Time: 58.81 s, dT: 0.1000 s, Temp: 27.20 C, Target: 57.45 C, Output: 255
Time: 58.91 s, dT: 0.1000 s, Temp: 27.32 C, Target: 57.50 C, Output: 255
Time: 59.01 s, dT: 0.1000 s, Temp: 27.36 C, Target: 57.54 C, Output: 255
Time: 59.11 s, dT: 0.1000 s, Temp: 27.38 C, Target: 57.59 C, Output: 255
Time: 59.21 s, dT: 0.1000 s, Temp: 27.43 C, Target: 57.63 C, Output: 255
Time: 59.31 s, dT: 0.1000 s, Temp: 27.38 C, Target: 57.68 C, Output: 255
Time: 59.41 s, dT: 0.1000 s, Temp: 27.59 C, Target: 57.73 C, Output: 255
Time: 59.51 s, dT: 0.1000 s, Temp: 27.58 C, Target: 57.77 C, Output: 255
Time: 59.61 s, dT: 0.1000 s, Temp: 27.60 C, Target: 57.82 C, Output: 255
Time: 59.71 s, dT: 0.1000 s, Temp: 27.65 C, Target: 57.87 C, Output: 255
Time: 59.81 s, dT: 0.1000 s, Temp: 27.65 C, Target: 57.91 C, Output: 255
Time: 59.91 s, dT: 0.1000 s, Temp: 27.65 C, Target: 57.96 C, Output: 255
Time: 60.01 s, dT: 0.1000 s, Temp: 27.77 C, Target: 58.00 C, Output: 255
Time: 60.11 s, dT: 0.1000 s, Temp: 27.88 C, Target: 58.05 C, Output: 255
Time: 60.21 s, dT: 0.1000 s, Temp: 27.80 C, Target: 58.10 C, Output: 255
Time: 60.31 s, dT: 0.1010 s, Temp: 27.85 C, Target: 58.14 C, Output: 255
Time: 60.41 s, dT: 0.1000 s, Temp: 27.90 C, Target: 58.19 C, Output: 255
Time: 60.51 s, dT: 0.1000 s, Temp: 27.92 C, Target: 58.24 C, Output: 255
Time: 60.61 s, dT: 0.1000 s, Temp: 27.97 C, Target: 58.28 C, Output: 255
