Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 49.62 s, Temp: 48.36 C, Target: 62.41 C, Output: 255.00
Time: 49.89 s, Temp: 48.38 C, Target: 62.47 C, Output: 255.00
Time: 50.15 s, Temp: 48.44 C, Target: 62.54 C, Output: 255.00
Time: 50.41 s, Temp: 48.37 C, Target: 62.60 C, Output: 255.00
Time: 50.68 s, Temp: 48.36 C, Target: 62.67 C, Output: 255.00
Time: 50.94 s, Temp: 48.36 C, Target: 62.73 C, Output: 255.00
Time: 51.20 s, Temp: 48.41 C, Target: 62.80 C, Output: 255.00
Time: 51.47 s, Temp: 48.30 C, Target: 62.87 C, Output: 255.00
Time: 51.73 s, Temp: 48.34 C, Target: 62.93 C, Output: 255.00
Time: 51.99 s, Temp: 48.43 C, Target: 63.00 C, Output: 255.00
Time: 52.25 s, Temp: 48.41 C, Target: 63.06 C, Output: 255.00
Time: 52.52 s, Temp: 48.39 C, Target: 63.13 C, Output: 255.00
Time: 52.78 s, Temp: 48.36 C, Target: 63.20 C, Output: 255.00
Time: 53.04 s, Temp: 48.38 C, Target: 63.26 C, Output: 255.00
Time: 53.31 s, Temp: 48.37 C, Target: 63.33 C, Output: 255.00
Time: 53.57 s, Temp: 48.38 C, Target: 63.39 C, Output: 255.00
Time: 53.83 s, Temp: 48.37 C, Target: 63.46 C, Output: 255.00
Time: 54.10 s, Temp: 48.38 C, Target: 63.52 C, Output: 255.00
Time: 54.36 s, Temp: 48.38 C, Target: 63.59 C, Output: 255.00
Time: 54.62 s, Temp: 48.43 C, Target: 63.66 C, Output: 255.00
Time: 54.88 s, Temp: 48.34 C, Target: 63.72 C, Output: 255.00
Time: 55.15 s, Temp: 48.37 C, Target: 63.79 C, Output: 255.00
Time: 55.41 s, Temp: 48.39 C, Target: 63.85 C, Output: 255.00
Time: 55.67 s, Temp: 48.39 C, Target: 63.92 C, Output: 255.00
Time: 55.94 s, Temp: 48.41 C, Target: 63.98 C, Output: 255.00
Time: 56.20 s, Temp: 48.39 C, Target: 64.05 C, Output: 255.00
Time: 56.46 s, Temp: 48.41 C, Target: 64.12 C, Output: 255.00
Time: 56.73 s, Temp: 48.30 C, Target: 64.18 C, Output: 255.00
Time: 56.99 s, Temp: 48.34 C, Target: 64.25 C, Output: 255.00
Time: 57.25 s, Temp: 48.43 C, Target: 64.31 C, Output: 255.00
Time: 57.52 s, Temp: 48.43 C, Target: 64.38 C, Output: 255.00
Time: 57.78 s, Temp: 48.39 C, Target: 64.44 C, Output: 255.00
Time: 58.04 s, Temp: 48.48 C, Target: 64.51 C, Output: 255.00
Time: 58.31 s, Temp: 48.46 C, Target: 64.58 C, Output: 255.00
Time: 58.57 s, Temp: 48.48 C, Target: 64.64 C, Output: 255.00
Time: 58.83 s, Temp: 48.50 C, Target: 64.71 C, Output: 255.00
Time: 59.09 s, Temp: 48.48 C, Target: 64.77 C, Output: 255.00
Time: 59.36 s, Temp: 48.45 C, Target: 64.84 C, Output: 255.00
Time: 59.62 s, Temp: 48.44 C, Target: 64.91 C, Output: 255.00
Time: 59.88 s, Temp: 48.46 C, Target: 64.97 C, Output: 255.00
Time: 60.15 s, Temp: 48.48 C, Target: 65.04 C, Output: 255.00
Time: 60.41 s, Temp: 48.48 C, Target: 65.10 C, Output: 255.00
Time: 60.67 s, Temp: 48.50 C, Target: 65.17 C, Output: 255.00
Time: 60.94 s, Temp: 48.48 C, Target: 65.23 C, Output: 255.00
Time: 61.20 s, Temp: 48.57 C, Target: 65.30 C, Output: 255.00
Time: 61.46 s, Temp: 48.55 C, Target: 65.37 C, Output: 255.00
Time: 61.73 s, Temp: 48.56 C, Target: 65.43 C, Output: 255.00
Time: 61.99 s, Temp: 48.52 C, Target: 65.50 C, Output: 255.00
Time: 62.25 s, Temp: 48.61 C, Target: 65.56 C, Output: 255.00
Time: 62.52 s, Temp: 48.51 C, Target: 65.63 C, Output: 255.00
Time: 62.78 s, Temp: 48.51 C, Target: 65.69 C, Output: 255.00
Time: 63.04 s, Temp: 48.62 C, Target: 65.76 C, Output: 255.00
Time: 63.30 s, Temp: 48.59 C, Target: 65.83 C, Output: 255.00
Time: 63.57 s, Temp: 48.64 C, Target: 65.89 C, Output: 255.00
Time: 63.83 s, Temp: 48.62 C, Target: 65.96 C, Output: 255.00
Time: 64.09 s, Temp: 48.66 C, Target: 66.02 C, Output: 255.00
Time: 64.36 s, Temp: 48.69 C, Target: 66.09 C, Output: 255.00
Time: 64.62 s, Temp: 48.68 C, Target: 66.15 C, Output: 255.00
Time: 64.88 s, Temp: 48.68 C, Target: 66.22 C, Output: 255.00
Time: 65.15 s, Temp: 48.77 C, Target: 66.29 C, Output: 255.00
Time: 65.41 s, Temp: 48.70 C, Target: 66.35 C, Output: 255.00
Time: 65.67 s, Temp: 48.86 C, Target: 66.42 C, Output: 255.00
Time: 65.94 s, Temp: 48.78 C, Target: 66.48 C, Output: 255.00
Time: 66.20 s, Temp: 48.79 C, Target: 66.55 C, Output: 255.00
Time: 66.46 s, Temp: 48.83 C, Target: 66.62 C, Output: 255.00
Time: 66.72 s, Temp: 48.84 C, Target: 66.68 C, Output: 255.00
Time: 66.99 s, Temp: 48.90 C, Target: 66.75 C, Output: 255.00
Time: 67.25 s, Temp: 48.88 C, Target: 66.81 C, Output: 255.00
Time: 67.51 s, Temp: 48.90 C, Target: 66.88 C, Output: 255.00
Time: 67.78 s, Temp: 48.98 C, Target: 66.94 C, Output: 255.00
Time: 68.04 s, Temp: 48.94 C, Target: 67.01 C, Output: 255.00
Time: 68.30 s, Temp: 48.94 C, Target: 67.08 C, Output: 255.00
Time: 68.57 s, Temp: 49.01 C, Target: 67.14 C, Output: 255.00
Time: 68.83 s, Temp: 49.02 C, Target: 67.21 C, Output: 255.00
Time: 69.09 s, Temp: 49.10 C, Target: 67.27 C, Output: 255.00
Time: 69.36 s, Temp: 49.10 C, Target: 67.34 C, Output: 255.00
Time: 69.62 s, Temp: 49.14 C, Target: 67.40 C, Output: 255.00
Time: 69.88 s, Temp: 49.16 C, Target: 67.47 C, Output: 255.00
Time: 70.14 s, Temp: 49.21 C, Target: 67.54 C, Output: 255.00
Time: 70.41 s, Temp: 49.22 C, Target: 67.60 C, Output: 255.00
Time: 70.67 s, Temp: 49.22 C, Target: 67.67 C, Output: 255.00
Time: 70.93 s, Temp: 49.22 C, Target: 67.73 C, Output: 255.00
Time: 71.20 s, Temp: 49.33 C, Target: 67.80 C, Output: 255.00
Time: 71.46 s, Temp: 49.34 C, Target: 67.86 C, Output: 255.00
Time: 71.72 s, Temp: 49.40 C, Target: 67.93 C, Output: 255.00
Time: 71.99 s, Temp: 49.40 C, Target: 68.00 C, Output: 255.00
Time: 72.25 s, Temp: 49.35 C, Target: 68.06 C, Output: 255.00
Time: 72.51 s, Temp: 49.45 C, Target: 68.13 C, Output: 255.00
Time: 72.78 s, Temp: 49.53 C, Target: 68.19 C, Output: 255.00
Time: 73.04 s, Temp: 49.59 C, Target: 68.26 C, Output: 255.00
Time: 73.30 s, Temp: 49.60 C, Target: 68.33 C, Output: 255.00
Time: 73.57 s, Temp: 49.60 C, Target: 68.39 C, Output: 255.00
Time: 73.83 s, Temp: 49.65 C, Target: 68.46 C, Output: 255.00
Time: 74.09 s, Temp: 49.77 C, Target: 68.52 C, Output: 255.00
Time: 74.36 s, Temp: 49.72 C, Target: 68.59 C, Output: 255.00
Time: 74.62 s, Temp: 49.77 C, Target: 68.65 C, Output: 255.00
Time: 74.88 s, Temp: 49.87 C, Target: 68.72 C, Output: 255.00
Time: 75.14 s, Temp: 49.88 C, Target: 68.79 C, Output: 255.00
Time: 75.41 s, Temp: 49.95 C, Target: 68.85 C, Output: 255.00
Time: 75.67 s, Temp: 49.99 C, Target: 68.92 C, Output: 255.00
Time: 75.93 s, Temp: 50.06 C, Target: 68.98 C, Output: 255.00
Time: 76.20 s, Temp: 49.99 C, Target: 69.05 C, Output: 255.00
Time: 76.46 s, Temp: 50.09 C, Target: 69.11 C, Output: 255.00
Time: 76.72 s, Temp: 50.27 C, Target: 69.18 C, Output: 255.00
Time: 76.99 s, Temp: 50.20 C, Target: 69.25 C, Output: 255.00
Time: 77.25 s, Temp: 50.27 C, Target: 69.31 C, Output: 255.00
Time: 77.51 s, Temp: 50.34 C, Target: 69.38 C, Output: 255.00
Time: 77.77 s, Temp: 50.38 C, Target: 69.44 C, Output: 255.00
Time: 78.04 s, Temp: 50.42 C, Target: 69.51 C, Output: 255.00
Time: 78.30 s, Temp: 50.45 C, Target: 69.58 C, Output: 255.00
Time: 78.56 s, Temp: 50.49 C, Target: 69.64 C, Output: 255.00
Time: 78.83 s, Temp: 50.50 C, Target: 69.71 C, Output: 255.00
Time: 79.09 s, Temp: 50.59 C, Target: 69.77 C, Output: 255.00
Time: 79.35 s, Temp: 50.63 C, Target: 69.84 C, Output: 255.00
Time: 79.62 s, Temp: 50.70 C, Target: 69.90 C, Output: 255.00
Time: 79.88 s, Temp: 50.74 C, Target: 69.97 C, Output: 255.00
Time: 80.14 s, Temp: 50.79 C, Target: 70.04 C, Output: 255.00
Time: 80.41 s, Temp: 50.80 C, Target: 70.10 C, Output: 255.00
Time: 80.67 s, Temp: 50.95 C, Target: 70.17 C, Output: 255.00
Time: 80.93 s, Temp: 51.00 C, Target: 70.23 C, Output: 255.00
Time: 81.19 s, Temp: 51.05 C, Target: 70.30 C, Output: 255.00
Time: 81.46 s, Temp: 51.13 C, Target: 70.36 C, Output: 255.00
Time: 81.72 s, Temp: 51.16 C, Target: 70.43 C, Output: 255.00
Time: 81.98 s, Temp: 51.25 C, Target: 70.50 C, Output: 255.00
Time: 82.25 s, Temp: 51.23 C, Target: 70.56 C, Output: 255.00
Time: 82.51 s, Temp: 51.30 C, Target: 70.63 C, Output: 255.00
Time: 82.77 s, Temp: 51.35 C, Target: 70.69 C, Output: 255.00
Time: 83.04 s, Temp: 51.48 C, Target: 70.76 C, Output: 255.00
Time: 83.30 s, Temp: 51.48 C, Target: 70.83 C, Output: 255.00
Time: 83.56 s, Temp: 51.57 C, Target: 70.89 C, Output: 255.00
Time: 83.83 s, Temp: 51.59 C, Target: 70.96 C, Output: 255.00
Time: 84.09 s, Temp: 51.69 C, Target: 71.02 C, Output: 255.00
Time: 84.35 s, Temp: 51.77 C, Target: 71.09 C, Output: 255.00
Time: 84.62 s, Temp: 51.70 C, Target: 71.15 C, Output: 255.00
Time: 84.88 s, Temp: 51.91 C, Target: 71.22 C, Output: 255.00
Time: 85.14 s, Temp: 51.99 C, Target: 71.29 C, Output: 255.00
Time: 85.41 s, Temp: 52.11 C, Target: 71.35 C, Output: 255.00
Time: 85.67 s, Temp: 52.16 C, Target: 71.42 C, Output: 255.00
Time: 85.93 s, Temp: 52.22 C, Target: 71.48 C, Output: 255.00
